Аніськович;Павло;Юрійович;"політична партія ""Громадянська позиція""";№223
Аносова;Ірина;Олександрівна;"політична партія ""Громадянська позиція""";№80
Антіпов;Дмитро;Ігорович;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№68
Антов;Трифон;Данилович;Самовисування;№141
Антоненко;Костянтин;Григорович;Аграрна партія України;№111
Антоненко;Прохор;Дмитрович;"політична партія Всеукраїнське об’єднання ""Свобода""";№182
Антонець;Тетяна;Іванівна;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№16
Антонів;Руслан;Володимирович;"Політична Партія ""ПАТРІОТ""";№88
Антонов;Ярослав;Романович;"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""";№166
Антонченко;Валентина;Порфиріївна;"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ""";№19
Антонюк;Ірина;Валеріївна;Аграрна партія України;№202
Антонюк;Леонід;Вікторович;"Політична Партія ""ПАТРІОТ""";№107
Антонюк;Микола;Павлович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№18
Антонюк;Олександр;Васильович;"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""ФАКЕЛ""";№32
Антонюк;Сергій;Володимирович;Аграрна партія України;№164
Антошик;Мар’ян;Богданович;"Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""";№125
Антошин;Вадим;Леонідович;"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""";№206
Антошків;Яна;Олександрівна;"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""ФАКЕЛ""";№40
Анчин;Олег;Валерійович;Самовисування;№159
Апостол;Надія;Сергіївна;"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""";№107
Апостолюк;Іван;Васильович;"політична партія Всеукраїнське об’єднання ""Свобода""";№167
